,config1,config2,similarity
859,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00256.POSCAR_all_sites/CONTCAR,-0.17224757373332977
869,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00402.POSCAR_all_sites/CONTCAR,-0.1721937209367752
355,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00265.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,-0.17160587012767792
522,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00261.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,-0.17155201733112335
2284,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.17111720144748688
839,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.17071276903152466
827,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.17070329189300537
1926,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00256.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.17068029940128326
2617,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.17066597938537598
2059,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00402.POSCAR_all_sites/CONTCAR,-0.17062734067440033
1367,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.17061810195446014
9,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00023.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,-0.17033593356609344
2455,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.17011892795562744
1795,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00256.POSCAR_all_sites/CONTCAR,-0.1700810343027115
372,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00265.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.17004241049289703
2288,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.17003829777240753
2276,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.17003075778484344
1805,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00402.POSCAR_all_sites/CONTCAR,-0.1700226068496704
539,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00261.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.1699894219636917
1580,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.16972875595092773
2621,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16968707740306854
2609,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16967885196208954
368,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00265.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.1694427877664566
535,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00261.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.16938436031341553
1915,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.16930027306079865
1784,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.16926942765712738
1371,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16880863904953003
1359,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.1688026636838913
26,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00023.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.1687830239534378
893,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00232.POSCAR_all_sites/CONTCAR,-0.16835404932498932
891,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00235.POSCAR_all_sites/CONTCAR,-0.16834773123264313
2459,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16823707520961761
2447,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16822759807109833
22,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00023.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.1681700497865677
1584,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16795392334461212
1572,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16794387996196747
848,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00337.POSCAR_all_sites/CONTCAR,-0.1678440421819687
849,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00331.POSCAR_all_sites/CONTCAR,-0.16783106327056885
865,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00340.POSCAR_all_sites/CONTCAR,-0.1677897423505783
1919,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16756178438663483
1907,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.1675512194633484
1788,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.1675310581922531
1776,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.1675204634666443
2083,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00232.POSCAR_all_sites/CONTCAR,-0.16672837734222412
2081,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00235.POSCAR_all_sites/CONTCAR,-0.16672401130199432
1439,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.1664176881313324
1167,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00337.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.1662362813949585
1241,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00331.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.1662319451570511
2055,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00340.POSCAR_all_sites/CONTCAR,-0.1661839485168457
1829,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00232.POSCAR_all_sites/CONTCAR,-0.16616632044315338
1827,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00235.POSCAR_all_sites/CONTCAR,-0.16615551710128784
2225,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.1659722924232483
846,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00076.POSCAR_all_sites/CONTCAR,-0.16572484374046326
2960,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.16571567952632904
873,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00078.POSCAR_all_sites/CONTCAR,-0.16569747030735016
1163,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00337.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.16565150022506714
1237,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00331.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.16564837098121643
1801,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00340.POSCAR_all_sites/CONTCAR,-0.1655956357717514
1443,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16466540098190308
1431,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16465544700622559
2229,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16432251036167145
2217,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16431190073490143
1016,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00076.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,-0.16417010128498077
2063,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00506.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00078.POSCAR_all_sites/CONTCAR,-0.16413672268390656
2964,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.16399353742599487
2952,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.16398584842681885
1012,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00076.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,-0.16356128454208374
1809,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00556.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00078.POSCAR_all_sites/CONTCAR,-0.1635252684354782
166,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-0.16157491505146027
145,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,-0.16077344119548798
152,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,-0.16064071655273438
165,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00610.POSCAR_all_sites/CONTCAR,-0.15944768488407135
161,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,-0.15938590466976166
173,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-0.15931259095668793
135,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00351.POSCAR_all_sites/CONTCAR,-0.15844190120697021
150,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00555.POSCAR_all_sites/CONTCAR,-0.15764737129211426
154,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00300.POSCAR_all_sites/CONTCAR,-0.15752571821212769
140,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00564.POSCAR_all_sites/CONTCAR,-0.15747730433940887
129,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00572.POSCAR_all_sites/CONTCAR,-0.15746302902698517
163,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00142.POSCAR_all_sites/CONTCAR,-0.1567665934562683
139,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00513.POSCAR_all_sites/CONTCAR,-0.15658223628997803
168,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00375.POSCAR_all_sites/CONTCAR,-0.1562824249267578
137,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00380.POSCAR_all_sites/CONTCAR,-0.15620654821395874
151,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00552.POSCAR_all_sites/CONTCAR,-0.15616248548030853
3950,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.15565179288387299
3530,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.15477705001831055
3719,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.15471023321151733
131,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00466.POSCAR_all_sites/CONTCAR,-0.15430425107479095
3940,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00610.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.1535528302192688
3890,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.15353143215179443
3965,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-0.15335947275161743
3954,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.1529301404953003
3858,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-0.15292440354824066
156,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00473.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00587.POSCAR_all_sites/CONTCAR,-0.15248528122901917
3175,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00351.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.1524336189031601
3522,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.15204519033432007
3534,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.1520259827375412
3764,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00300.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00472.POSCAR_all_sites/CONTCAR,-0.151982381939888
3711,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00577.POSCAR_all_sites/CONTCAR,-0.15192387998104095
3723,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00581.POSCAR_all_sites/CONTCAR,-0.15190042555332184
